,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,EVA-Green:DNADye,EVA-Green:Volume,EVA-Green:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,source,2X-Phusion-Hot-Start-Flex-Master-Mix:MasterMix,2X-Phusion-Hot-Start-Flex-Master-Mix:Volume,2X-Phusion-Hot-Start-Flex-Master-Mix:Kind,UWisc-GoldenGate-Primer-Mix:PrimerMix,GoldenGate-Forward-Primer:Primer,GoldenGate-Forward-Primer:Kind,GoldenGate-Reverse-Primer:Primer,GoldenGate-Reverse-Primer:Kind,destination,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,ct1gug8gn2sqvmg-EVA-Green-Plate,ct1gugfy7wpkxdq,Container(ct1gug8gn2sqvmg-EVA-Green-Plate),0,PCRAmplificationCheckReaction,aq1gughze5dh34g,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gug8gn2sqvmg-Diluted-PCR-Plate:0,,,,,,,,,,ct1gug8gn2sqvmg-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16C7DE98>,ct1gug8gn2sqvmg-EVA-Green-Plate,A1,44453.30118007852,ct1gugfy7wpkxdq,PCRAmplificationCheckReaction,100.0,0.396078431372549,d13vffs56jb7td,w13vffjbwg86uz,2022-03-22T14:03:24.836-07:00,platereader,i1gugfy7vh9m8p,[],,,False,,,,,False,2022-03-22T14:03:24.916-07:00,-1,485,485
1,ct1gug8gn2sqvmg-EVA-Green-Plate,ct1gugfy7wpkxdq,Container(ct1gug8gn2sqvmg-EVA-Green-Plate),1,PCRAmplificationCheckReaction,aq1gughze5en98j,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gug8gn2sqvmg-Diluted-PCR-Plate:1,,,,,,,,,,ct1gug8gn2sqvmg-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16C7DE98>,ct1gug8gn2sqvmg-EVA-Green-Plate,A2,12756.098409587506,ct1gugfy7wpkxdq,PCRAmplificationCheckReaction,100.0,0.396078431372549,d13vffs56jb7td,w13vffjbwg86uz,2022-03-22T14:03:24.836-07:00,platereader,i1gugfy7vh9m8p,[],,,False,,,,,False,2022-03-22T14:03:24.916-07:00,-1,485,485
2,ct1gug8gn2sqvmg-EVA-Green-Plate,ct1gugfy7wpkxdq,Container(ct1gug8gn2sqvmg-EVA-Green-Plate),2,PCRAmplificationCheckReaction,aq1gughze5en98n,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gug8gn2sqvmg-Diluted-PCR-Plate:2,,,,,,,,,,ct1gug8gn2sqvmg-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16C7DE98>,ct1gug8gn2sqvmg-EVA-Green-Plate,A3,17595.871087070565,ct1gugfy7wpkxdq,PCRAmplificationCheckReaction,100.0,0.396078431372549,d13vffs56jb7td,w13vffjbwg86uz,2022-03-22T14:03:24.836-07:00,platereader,i1gugfy7vh9m8p,[],,,False,,,,,False,2022-03-22T14:03:24.916-07:00,-1,485,485
3,ct1gug8gn2sqvmg-EVA-Green-Plate,ct1gugfy7wpkxdq,Container(ct1gug8gn2sqvmg-EVA-Green-Plate),3,PCRAmplificationCheckReaction,aq1gughze5fsfcm,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gug8gn2sqvmg-Diluted-PCR-Plate:3,,,,,,,,,,ct1gug8gn2sqvmg-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16C7DE98>,ct1gug8gn2sqvmg-EVA-Green-Plate,A4,15288.005453712176,ct1gugfy7wpkxdq,PCRAmplificationCheckReaction,100.0,0.396078431372549,d13vffs56jb7td,w13vffjbwg86uz,2022-03-22T14:03:24.836-07:00,platereader,i1gugfy7vh9m8p,[],,,False,,,,,False,2022-03-22T14:03:24.916-07:00,-1,485,485
4,ct1gug8gn2sqvmg-EVA-Green-Plate,ct1gugfy7wpkxdq,Container(ct1gug8gn2sqvmg-EVA-Green-Plate),4,PCRAmplificationCheckReaction,aq1gughze5fsfcq,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gug8gn2sqvmg-Diluted-PCR-Plate:4,,,,,,,,,,ct1gug8gn2sqvmg-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16C7DE98>,ct1gug8gn2sqvmg-EVA-Green-Plate,A5,15307.662306066492,ct1gugfy7wpkxdq,PCRAmplificationCheckReaction,100.0,0.396078431372549,d13vffs56jb7td,w13vffjbwg86uz,2022-03-22T14:03:24.836-07:00,platereader,i1gugfy7vh9m8p,[],,,False,,,,,False,2022-03-22T14:03:24.916-07:00,-1,485,485
5,ct1gug8gn2sqvmg-EVA-Green-Plate,ct1gugfy7wpkxdq,Container(ct1gug8gn2sqvmg-EVA-Green-Plate),5,PCRAmplificationCheckReaction,aq1gughze5gwngn,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gug8gn2sqvmg-Diluted-PCR-Plate:5,,,,,,,,,,ct1gug8gn2sqvmg-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16C7DE98>,ct1gug8gn2sqvmg-EVA-Green-Plate,A6,14319.551488951533,ct1gugfy7wpkxdq,PCRAmplificationCheckReaction,100.0,0.396078431372549,d13vffs56jb7td,w13vffjbwg86uz,2022-03-22T14:03:24.836-07:00,platereader,i1gugfy7vh9m8p,[],,,False,,,,,False,2022-03-22T14:03:24.916-07:00,-1,485,485
6,ct1gug8gn2sqvmg-EVA-Green-Plate,ct1gugfy7wpkxdq,Container(ct1gug8gn2sqvmg-EVA-Green-Plate),6,PCRAmplificationCheckReaction,aq1gughze5gwngr,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gug8gn2sqvmg-Diluted-PCR-Plate:6,,,,,,,,,,ct1gug8gn2sqvmg-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16C7DE98>,ct1gug8gn2sqvmg-EVA-Green-Plate,A7,13594.518669964811,ct1gugfy7wpkxdq,PCRAmplificationCheckReaction,100.0,0.396078431372549,d13vffs56jb7td,w13vffjbwg86uz,2022-03-22T14:03:24.836-07:00,platereader,i1gugfy7vh9m8p,[],,,False,,,,,False,2022-03-22T14:03:24.916-07:00,-1,485,485
7,ct1gug8gn2sqvmg-EVA-Green-Plate,ct1gugfy7wpkxdq,Container(ct1gug8gn2sqvmg-EVA-Green-Plate),7,PCRAmplificationCheckReaction,aq1gughze5j2ump,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gug8gn2sqvmg-Diluted-PCR-Plate:7,,,,,,,,,,ct1gug8gn2sqvmg-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16C7DE98>,ct1gug8gn2sqvmg-EVA-Green-Plate,A8,16308.795113529173,ct1gugfy7wpkxdq,PCRAmplificationCheckReaction,100.0,0.396078431372549,d13vffs56jb7td,w13vffjbwg86uz,2022-03-22T14:03:24.836-07:00,platereader,i1gugfy7vh9m8p,[],,,False,,,,,False,2022-03-22T14:03:24.916-07:00,-1,485,485
8,ct1gug8gn2sqvmg-EVA-Green-Plate,ct1gugfy7wpkxdq,Container(ct1gug8gn2sqvmg-EVA-Green-Plate),8,PCRAmplificationCheckReaction,aq1gughze5k72rn,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gug8gn2sqvmg-Diluted-PCR-Plate:8,,,,,,,,,,ct1gug8gn2sqvmg-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16C7DE98>,ct1gug8gn2sqvmg-EVA-Green-Plate,A9,12616.572404906876,ct1gugfy7wpkxdq,PCRAmplificationCheckReaction,100.0,0.396078431372549,d13vffs56jb7td,w13vffjbwg86uz,2022-03-22T14:03:24.836-07:00,platereader,i1gugfy7vh9m8p,[],,,False,,,,,False,2022-03-22T14:03:24.916-07:00,-1,485,485
9,ct1gug8gn2sqvmg-EVA-Green-Plate,ct1gugfy7wpkxdq,Container(ct1gug8gn2sqvmg-EVA-Green-Plate),9,PCRAmplificationCheckReaction,aq1gughze5k72rr,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gug8gn2sqvmg-Diluted-PCR-Plate:9,,,,,,,,,,ct1gug8gn2sqvmg-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16C7DE98>,ct1gug8gn2sqvmg-EVA-Green-Plate,A10,15037.812905329702,ct1gugfy7wpkxdq,PCRAmplificationCheckReaction,100.0,0.396078431372549,d13vffs56jb7td,w13vffjbwg86uz,2022-03-22T14:03:24.836-07:00,platereader,i1gugfy7vh9m8p,[],,,False,,,,,False,2022-03-22T14:03:24.916-07:00,-1,485,485
